path,bytes,lines,classes,functions,syntax_error,class_names,function_names,constants,sha256
handoff_core/regression_harness/smoke_v7_5.py,1604,48,0,0,,,,ROOT,9dd57b1f2dea19622ab5982dbd9c5e813b248bb0cce34069f355fa24228a316a
maintenance_core/scripts/package_release.py,1256,42,0,3,,,"_find_root, should_skip, main","ROOT, OUT, SKIP_PARTS, SKIP_SUFFIXES",29d8d01d97a6ed07aeeff0ae6891c6b341fa922a059711508d3da5b02791317e
maintenance_core/scripts/print_latest_handoff.py,557,16,0,1,,,_find_root,"ROOT, CANDIDATES",db36396fc6bc1b9062c9aa0cc1a172e9f72adb10bc947bbd0acfd4371c422a89
maintenance_core/scripts/run_mugenforge_smoke.py,1838,53,0,3,,,"_find_root, run, main",ROOT,b1bc412971eeeaa82a0a2eeb6fd574dc992157c1854171cdef14637accdf6d08
mugenforge/__init__.py,22,1,0,0,,,,,e018fd72720b7ef8d255690fa54053e22a691afdb651465c4afbde3c1a9772e3
mugenforge/air_tools.py,5441,142,3,5,,"AirLineClsnBox, AirLineFrame, AirLineAction","parse_air_with_lines, find_frame, normalize_box, validate_boxes, update_frame_clsn_text","ACTION_RE, FRAME_RE, CLSN_RE, CLSN_LINE_RE",c3feeedde6a5df74661fbc34fa1391f5b146ebb087a99cb43cdac3edda846883
mugenforge/app.py,500565,9465,1,1,,MugenForgeApp,main,APP_TITLE,0e7d0e8cfe0927be279f9f7c5d4aabfc0812a9b40e52adb36c3c1f4b12038548
mugenforge/authority_core.py,49801,1032,1,41,,AuthorityCoreResult,"_uniq, _rel, _timestamp, _authority_dir, _write, _write_json, _read_json, _csv_write, _csv_read, _sha256, _backup_file, _discover_files, _code_files, _first_int, _project_char_name, _default_engine_config, _engine_config_path, _read_engine_config, write_authority_dashboard, write_engine_contract_profiles, validate_engine_configuration, _contract_args, _expand_args, build_engine_command, run_authoritative_engine_scenario, parse_engine_run_results, _telemetry_rows, write_runtime_reconciliation_report, _corpus_root, write_sff_snd_corpus_validation_suite","AUTHORITY_CORE_VERSION, TEXT_CODE_EXTS, BINARY_EXTS, EVIDENCE_EXTS, ERROR_RE, WARN_RE, TELEMETRY_RE",ea27066a6ae526d1cbe234b371e6154d680dc8dd0202c5c3e1f8464666e584cf
mugenforge/authority_lab.py,50374,1059,1,32,,AuthorityLabResult,"_uniq, _now, _rel, _auth_dir, _write_text, _write_json, _write_csv, _sha256, _read_json, _main_def, _def_refs, _project_files, _code_files, _all_state_defs, _all_change_targets, _air_actions, _anim_duration, _first_int, _evidence_files, write_authority_dashboard, verify_engine_profile, build_source_runtime_simulation, _byte_entropy, _fingerprint_sff, validate_sff2_corpus, _candidate_binary_files, export_verified_binary_commit_sheet, apply_verified_binary_commit_sheet, write_gameplay_tuning_workbench, write_evidence_authority_gate","AUTHORITY_LAB_VERSION, CODE_EXTS, BINARY_EXTS, EVIDENCE_EXTS",1c6de6c2a85612532441f540946b624d46e795a0983f0fcd0fb8d91cbc5739d0
mugenforge/automation_bank.py,235330,3786,3,87,,"FeaturePreset, FeaturePackage, ApplyResult","available_presets, get_preset, preset_display_list, preset_by_display, _marker, _wrap, _spec, _pack_from_specs, _basic_air_actions, _common_command_bank, _debug_overlay_block, _simple_pose_state, _simple_pose_air, build_feature_package, package_preview_text, _timestamp, _backup_path, _append_unique, _fallback_file, apply_feature_package, apply_preset, apply_beginner_pack, default_project_profile, beginner_guide_text, _ensure_def_files_section, auto_setup_project, beginner_project_status, export_code_bank_template, _movement_fx_state, _state_minus_one","_BASE_BUILD_FEATURE_PACKAGE, _BASE_BUILD_FEATURE_PACKAGE_V22, _V22_BUILD_FEATURE_PACKAGE, _V24_BUILD_FEATURE_PACKAGE, _V25_DOC_IDS, _V25_SYSTEM_IDS, _V25_BUILD_FEATURE_PACKAGE, _V26_DOC_IDS, _V26_BUILD_FEATURE_PACKAGE, _V26_DOC_IDS, _V26_MOVE_IDS, _FINAL_V26_PREV_BUILD_FEATURE_PACKAGE, _QUALITY_BASE_BUILD_FEATURE_PACKAGE, _QUALITY_IDS, _RESCUE_BASE_BUILD_FEATURE_PACKAGE, _RESCUE_IDS, _CREATOR_HUB_PRESETS, _CREATOR_HUB_IDS, _CREATOR_HUB_PREV_BUILD_FEATURE_PACKAGE",00f2c803896c4710972e77fe26f7658b06dcf6828d7cbffaa4d0e6c054a82dcf
mugenforge/binary_core.py,124142,2711,2,83,,"BinaryCoreResult, Sff2ProbeRecord","_uniq, _flex_path, _rel, _now, _bc, _write_text, _write_json, _write_csv, _sha256, _backup, _file, _image_files, _parse_group_image, _image_size, _truth_lines, _u32, _i16, _u16, _header_slots, _find_embedded_pngs, _find_pcx_markers, _probe_mugenforge_png_subset, write_sff2_inspection, inspect_sff2_native, export_sff2_payloads, export_supported_sff2_payloads, export_sff_axis_sheet, _truthy, _safe_int, apply_sff_axis_sheet","BINARY_CORE_VERSION, IMAGE_SUFFIXES, TRUTH_NOTE, BINARY_CORE_VERSION, TRUTH_NOTE, BINARY_CORE_VERSION, TRUTH_NOTE",aadd7c22415ac2f1b038af58627fcc9adc028905ff4604c9c2583d09ab7e37e9
mugenforge/binary_deep.py,77282,1768,2,60,,"DeepSff2Record, DeepSff2Table","_now, _rel, _bd, _bc, _write_text, _write_json, _write_csv, _sha256, _safe_int, _truthy, _file, _backup, _u16, _i16, _u32, _i32, _clamp_i16, _clamp_u16, _image_files, _parse_group_image, _image_size, _png_payload, _find_embedded_pngs, _find_pcx_ranges, _candidate_header_values, _plausible_record_fields, _payload_hint, _score_record, _parse_table_candidate, discover_deep_sff2_tables","BINARY_DEEP_VERSION, SFF2_NATIVE_HEADER_SIZE, SFF2_RECORD_SIZE, SFF2_NATIVE_MAGIC, IMAGE_SUFFIXES, SFF2_FORMAT_LABELS, CAPABILITY_NOTE",a6b001345fdd811800ef7933c6f34603448de3ad18a29f301fa2179d06bd907a
mugenforge/binary_maturity.py,32967,718,1,23,,BinaryMaturityResult,"_uniq, _rel, _now, _bm, _write_text, _write_json, _write_csv, _sha256, _find_file, _truth_lines, _is_standard_sff2, write_sff2_maturity_report, export_sff2_edit_workspace, _truthy, _safe_int, apply_sff2_edit_workspace, build_sff2_from_source_folder, export_snd_slot_patch_sheet, apply_snd_slot_patch_sheet, write_runtime_test_harness, run_runtime_test_harness, build_binary_maturity_bundle, run_binary_maturity_pass","BINARY_MATURITY_VERSION, IMAGE_SUFFIXES, WAV_SUFFIXES, MATURITY_NOTE",3747e766e7d88083ecc5321ecaced14c9f8a234452eabb9e9284ebd890021f81
mugenforge/closure_core.py,67576,1458,3,47,,"ClosureResult, MicroState, MicroScenario","_now, _uniq, _rel, _closure_dir, _write_text, _write_json, _csv_write, _csv_read, _sha256, _first_int, _first_float_pair, _discover_files, _code_files, _all_binary_files, _read_runtime_config, write_closure_dashboard, _build_state_index, _build_air_index, _anim_elem_at, _compare, _eval_atom, _controller_triggers_true, _scenario_rows_from_project, _ensure_micro_scenario_sheet, build_micro_runtime_model, _load_micro_scenarios, _simulate_one, run_micro_runtime_scenarios, write_engine_autoprobe, _collect_evidence_files","CLOSURE_CORE_VERSION, CODE_EXTS, IMAGE_EXTS, AUDIO_EXTS, BINARY_EXTS",c02a2743ed1d933af03be799eab46e21fcf875e83df5599446092f8798eb26e7
mugenforge/closure_lab.py,63450,1389,1,47,,ClosureLabResult,"_uniq, _now, _rel, _closure_dir, _write_text, _write_json, _write_csv, _read_json, _backup_file, _main_def, _def_refs, _project_files, _code_files, _safe_int, _safe_float, _numbers, _number_pair, _all_states, _all_hitdefs, _load_air_actions, _anim_element, _anim_total_ticks, _eval_trigger_expr, _compare, _controller_triggers_true, build_offline_runtime_simulation, write_engine_adapter_suite, validate_engine_adapter_suite, run_engine_adapter_suite, build_sff2_corpus_validator","CLOSURE_LAB_VERSION, CODE_EXTS, BINARY_EXTS, EVIDENCE_EXTS",89908ed33632ed4c602029aa2c804d3f6a08c65244bd94c29c1384cc844c0353
mugenforge/code_authoring.py,6798,213,1,8,,CodeAuthoringReport,"command_template, negative_one_changestate_template, attack_state_template, projectile_state_template, helper_explod_template, inspect_code_text, inspect_character_folder, package_character_zip",COMMAND_REF_RE,472e0278df309f42da87a1c0df2ac4ff87bd6b05958cac02785a24ffd3e1734c
